channel,campaign_name,package,month,Spend,Impressions,corrected_spend,corrected_impressions,method,ecpm
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_AXP Propensity+_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1316268.9999999998,30000.0,1316269.0,PAV,22.79169379511331
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-01,821026.2370247724,1031406.0000000001,55000.0,1031406.0,CPE,53.32526667481089
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-02,763574.256255724,1033849.0,55000.0,1033849.0,CPE,53.1992583056133
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-03,770823.3890214796,1033520.0,55000.0,1033520.0,CPE,53.216193203808345
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,1027007.0,30000.0,1027007.0,PAV,29.211095932160152
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,1028811.0,30000.0,1028811.0,PAV,29.15987484581716
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1028067.0000000001,30000.0,1028067.0,PAV,29.18097750438444
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-01,0.0,1815777.0000000002,30000.0,1815777.0,PAV,16.521852628378927
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-02,0.0,1892875.9999999998,30000.0,1892876.0,PAV,15.848898712858103
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-03,0.0,1976132.0,30000.0,1976132.0,PAV,15.18117210793611
