channel,campaign_name,package,month,Spend,Impressions
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,28067.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-01,0.0,815777.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-02,0.0,892876.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Listening Propen+_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-03,0.0,976132.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,49174.0,3826596.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,47843.0,3723212.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,60511.0,5133125.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,290583.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,271572.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_AXP Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,358144.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-01,25000.0,31142.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-02,25000.0,32928.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_AUD_0:30_A18+_CPE_NONSPR,2025-03,25000.0,33537.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,26033.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,28057.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,28080.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-01,0.0,777302.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-02,0.0,856269.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_CSTM_Unreachables_NTL_3P_UF_GM SPON LIS Unreachables_CRS_DIS_640x330_A18+_PAV_NONSPR,2025-03,0.0,926779.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,47958.0,4620153.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,73112.0,7043421.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_AE Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,37001.0,4146321.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,22767.0,621205.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,34140.0,931525.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Propensity Model_NTL_2P_UF_Spons Session Propen+ _CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,17784.0,551640.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,48413.0,4664013.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,74052.0,7133953.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_AE Unreach_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,35706.0,4016555.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-01,22415.0,611567.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-02,32796.0,894903.0
Digital Audio,,"D_ATF_REX_066_SPOTIFY USA, INC._GARNT_CSTM_Unreachables_NTL_2P_UF_Spons Session Unreachables_CRS_AUD_0:30_A18+_CPM_NONSPR",2025-03,19444.0,536062.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-01,34108.0,1604920.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-02,56335.0,2650972.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Mid Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-03,56484.0,2658143.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-01,41279.0,1942596.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-02,52197.0,2456406.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre Roll_CRS_POD_0:45_A18+_CPM_NONSPR,2025-03,57754.0,2717828.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-01,0.0,1080285.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-02,0.0,1698110.0
Digital Audio,,D_ATF_REX_066_WONDERY.COM_GARNT_BROD_ROS_NTL_2P_UF_Morbid Pre/Mid AV Rotator_CRS_POD_0:45_A18+_PAV_NONSPR,2025-03,0.0,1710323.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,45128.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,60167.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,62744.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,13412.0,1916041.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,18240.0,2605714.0
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,18027.0,2617401.0
